question,database,output,type,cypher,explanation
List the first 5 movies released in 2003.,movies,"<explanation>
This query looks for movies with a released date of 2003 and returns the title of the first 5 movies found. 

1. **MATCH Clause:** We use `MATCH (m:Movie)` to search for all nodes with the label 'Movie'.
2. **WHERE Clause:** We filter these movies to only include those where the `released` property is equal to 2003.
3. **RETURN Clause:** We return the `title` property of the movies.
4. **LIMIT Clause:** We limit the returned results to the first 5.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released = 2003
RETURN m.title
LIMIT 5
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.released = 2003
RETURN m.title
LIMIT 5","This query looks for movies with a released date of 2003 and returns the title of the first 5 movies found. 

1. **MATCH Clause:** We use `MATCH (m:Movie)` to search for all nodes with the label 'Movie'.
2. **WHERE Clause:** We filter these movies to only include those where the `released` property is equal to 2003.
3. **RETURN Clause:** We return the `title` property of the movies.
4. **LIMIT Clause:** We limit the returned results to the first 5."
Which movies did Keanu Reeves act in?,movies,"<explanation>
1. We need to find the node with the name 'Keanu Reeves'.
2. Then we traverse outgoing `ACTED_IN` relationships to `Movie` nodes.
3. Finally, we return the titles of the movies.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
RETURN m.title
```
</explanation>
```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
RETURN m.title","1. We need to find the node with the name 'Keanu Reeves'.
2. Then we traverse outgoing `ACTED_IN` relationships to `Movie` nodes.
3. Finally, we return the titles of the movies.

```cypher
MATCH (p:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)
RETURN m.title
```"
"Who directed the movie ""Something's Gotta Give""?",movies,"<explanation>
This Cypher query looks for a Movie node with the title ""Something's Gotta Give"" and then checks for any incoming DIRECTED relationships from Person nodes.  The name property of any matching Person nodes is then returned. 
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})<-[:DIRECTED]-(p:Person)
RETURN p.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})<-[:DIRECTED]-(p:Person)
RETURN p.name","This Cypher query looks for a Movie node with the title ""Something's Gotta Give"" and then checks for any incoming DIRECTED relationships from Person nodes.  The name property of any matching Person nodes is then returned."
"What is the tagline of the movie ""The Matrix Revolutions""?",movies,"<explanation>
This Cypher query first finds the movie with the title ""The Matrix Revolutions"". Then it returns the `tagline` property of that movie. 

1. **MATCH (m:Movie {title: ""The Matrix Revolutions""})** - This line finds the movie node with the title ""The Matrix Revolutions"".
2. **RETURN m.tagline** - This line returns the `tagline` property of the movie node found in the previous step. 
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
RETURN m.tagline
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
RETURN m.tagline","This Cypher query first finds the movie with the title ""The Matrix Revolutions"". Then it returns the `tagline` property of that movie. 

1. **MATCH (m:Movie {title: ""The Matrix Revolutions""})** - This line finds the movie node with the title ""The Matrix Revolutions"".
2. **RETURN m.tagline** - This line returns the `tagline` property of the movie node found in the previous step."
"How many votes did the movie ""Something's Gotta Give"" receive?",movies,"<explanation>
This query is simple - it needs to locate the movie with the title ""Something's Gotta Give"", and return the number of votes it has.

1. **Find the movie:** We start by finding the movie node with the title ""Something's Gotta Give"".
2. **Return the vote count:** Then, we simply return the `votes` property of that movie node.
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
RETURN m.votes
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})
RETURN m.votes","This query is simple - it needs to locate the movie with the title ""Something's Gotta Give"", and return the number of votes it has.

1. **Find the movie:** We start by finding the movie node with the title ""Something's Gotta Give"".
2. **Return the vote count:** Then, we simply return the `votes` property of that movie node."
"Who produced the movie ""Speed Racer""?",movies,"<explanation>
This query starts by finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards (incoming direction) to find the person(s) who produced that movie. Finally, it returns the name of the person(s).
</explanation>
```cypher
MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""Speed Racer""})<-[:PRODUCED]-(p:Person)
RETURN p.name","This query starts by finding the movie with the title ""Speed Racer"". Then, it traverses the `PRODUCED` relationship backwards (incoming direction) to find the person(s) who produced that movie. Finally, it returns the name of the person(s)."
"What is the release year of the movie with the tagline ""Everything that has a beginning has an end""?",movies,"<explanation>
This Cypher query looks for a movie with the tagline ""Everything that has a beginning has an end"" and then returns its release year.
1. **MATCH Clause**: It starts by finding a `Movie` node with the specified tagline.
2. **RETURN Clause**:  It returns the `released` property of the found movie.

```cypher
MATCH (m:Movie {tagline: ""Everything that has a beginning has an end""})
RETURN m.released
```
</explanation>
```cypher
MATCH (m:Movie {tagline: ""Everything that has a beginning has an end""})
RETURN m.released
```",Simple Retrieval Queries,"MATCH (m:Movie {tagline: ""Everything that has a beginning has an end""})
RETURN m.released","This Cypher query looks for a movie with the tagline ""Everything that has a beginning has an end"" and then returns its release year.
1. **MATCH Clause**: It starts by finding a `Movie` node with the specified tagline.
2. **RETURN Clause**:  It returns the `released` property of the found movie.

```cypher
MATCH (m:Movie {tagline: ""Everything that has a beginning has an end""})
RETURN m.released
```"
List the first 3 movies with more than 1000 votes.,movies,"<explanation>
This query first finds all movies with more than 1000 votes and then uses `LIMIT` to return only the first 3 from the result set.

1. **MATCH Clause:** We start by matching all movie nodes (`Movie`) in the graph.
2. **WHERE Clause:** We filter the movies to include only those where the `votes` property is greater than 1000.
3. **WITH Clause**: This clause allows us to use `votes` in the subsequent `ORDER BY` clause.
4. **ORDER BY Clause:** We sort the results in descending order based on the number of votes (`votes`).
5. **RETURN Clause:** We return the `title` of each movie.
6. **LIMIT Clause:** We limit the number of results to 3, effectively selecting the top 3 movies with the most votes.
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
ORDER BY m.votes DESC
RETURN m.title
LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie)
WHERE m.votes > 1000
WITH m
ORDER BY m.votes DESC
RETURN m.title
LIMIT 3","This query first finds all movies with more than 1000 votes and then uses `LIMIT` to return only the first 3 from the result set.

1. **MATCH Clause:** We start by matching all movie nodes (`Movie`) in the graph.
2. **WHERE Clause:** We filter the movies to include only those where the `votes` property is greater than 1000.
3. **WITH Clause**: This clause allows us to use `votes` in the subsequent `ORDER BY` clause.
4. **ORDER BY Clause:** We sort the results in descending order based on the number of votes (`votes`).
5. **RETURN Clause:** We return the `title` of each movie.
6. **LIMIT Clause:** We limit the number of results to 3, effectively selecting the top 3 movies with the most votes."
Who are the first 3 people born after 1960?,movies,"<explanation>
This query finds all people born after 1960, orders them by their birth year in ascending order, limits the result set to the first 3 people, and then returns their names. 
</explanation>
```cypher
MATCH (p:Person)
WHERE p.born > 1960
RETURN p.name
ORDER BY p.born
LIMIT 3
```",Simple Retrieval Queries,"MATCH (p:Person)
WHERE p.born > 1960
RETURN p.name
ORDER BY p.born
LIMIT 3","This query finds all people born after 1960, orders them by their birth year in ascending order, limits the result set to the first 3 people, and then returns their names."
Which movies did Nancy Meyers write?,movies,"<explanation>
This query starts with finding the person named ""Nancy Meyers,"" then traverses the `:WROTE` relationships to find all movies written by her. Finally, it returns the titles of those movies. 
</explanation>
```cypher
MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (p:Person {name: 'Nancy Meyers'})-[:WROTE]->(m:Movie)
RETURN m.title","This query starts with finding the person named ""Nancy Meyers,"" then traverses the `:WROTE` relationships to find all movies written by her. Finally, it returns the titles of those movies."
