question,type,database
List the first 5 movies released in 2003.,Simple Retrieval Queries,movies
Which movies did Keanu Reeves act in?,Simple Retrieval Queries,movies
"Who directed the movie ""Something's Gotta Give""?",Simple Retrieval Queries,movies
"What is the tagline of the movie ""The Matrix Revolutions""?",Simple Retrieval Queries,movies
"How many votes did the movie ""Something's Gotta Give"" receive?",Simple Retrieval Queries,movies
"Who produced the movie ""Speed Racer""?",Simple Retrieval Queries,movies
"What is the release year of the movie with the tagline ""Everything that has a beginning has an end""?",Simple Retrieval Queries,movies
List the first 3 movies with more than 1000 votes.,Simple Retrieval Queries,movies
Who are the first 3 people born after 1960?,Simple Retrieval Queries,movies
Which movies did Nancy Meyers write?,Simple Retrieval Queries,movies
"What are the roles of Keanu Reeves in the movie ""Something's Gotta Give""?",Simple Retrieval Queries,movies
"Who produced the movie with the tagline ""Speed has no limits""?",Simple Retrieval Queries,movies
Which movies released in 2003 have more than 50 votes?,Simple Retrieval Queries,movies
List the top 5 movies with the highest number of votes.,Simple Retrieval Queries,movies
Who are the people born before 1960?,Simple Retrieval Queries,movies
"Which movies have ""Matrix"" in their title?",Simple Retrieval Queries,movies
What are the taglines of the movies released after 2000?,Simple Retrieval Queries,movies
List the first 3 people who acted in movies released in 2003.,Simple Retrieval Queries,movies
Who directed movies with more than 100 votes?,Simple Retrieval Queries,movies
What are the titles of movies produced by Joel Silver?,Simple Retrieval Queries,movies
"Which person acted in both ""Something's Gotta Give"" and ""The Matrix Revolutions""?",Simple Retrieval Queries,movies
List the first 5 movies released between 1990 and 2010.,Simple Retrieval Queries,movies
Who are the people who have directed or produced a movie?,Simple Retrieval Queries,movies
What are the taglines of movies with more than 500 votes?,Simple Retrieval Queries,movies
"Which movies were released in the same year as ""The Matrix Revolutions""?",Simple Retrieval Queries,movies
List the top 3 people with the highest number of movies acted in.,Simple Retrieval Queries,movies
Who wrote movies released before 2000?,Simple Retrieval Queries,movies
What are the titles of movies directed by people born before 1955?,Simple Retrieval Queries,movies
Which people acted in movies produced by Joel Silver?,Simple Retrieval Queries,movies
"List the first 5 movies with ""the"" in their title.",Simple Retrieval Queries,movies
Who directed movies with less than 100 votes?,Simple Retrieval Queries,movies
What are the release years of movies written by Nancy Meyers?,Simple Retrieval Queries,movies
Which people acted in movies with more than 1000 votes?,Simple Retrieval Queries,movies
List the first 3 people born between 1950 and 1960.,Simple Retrieval Queries,movies
Who produced movies released after 2005?,Simple Retrieval Queries,movies
"What are the titles of movies with taglines containing the word ""end""?",Simple Retrieval Queries,movies
Which people acted in movies directed by people born before 1950?,Simple Retrieval Queries,movies
"What are the first 3 reviews' summaries for the movie ""Something's Gotta Give""?",Simple Retrieval Queries,movies
"What is the average rating for the movie ""The Matrix Revolutions""?",Simple Retrieval Queries,movies
"Who reviewed the movie ""Something's Gotta Give"" with a rating above 80?",Simple Retrieval Queries,movies
"List the first 3 people who reviewed movies with the summary ""A solid romp"".",Simple Retrieval Queries,movies
"What are the ratings for the movie ""The Matrix Revolutions"" given by people born after 1960?",Simple Retrieval Queries,movies
"Which movies have been reviewed with the summary ""Pretty funny at times""?",Simple Retrieval Queries,movies
